LPCBORUNITHRLY	1059777	0.42	18-APR-26	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANDISPATCH_P	3705597	0.42	02-SEP-21	212604	0	252	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLAN	3557331	0.42	07-MAY-26	25970	0	9303	0	0	461408	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITSCHEDCOMPOFFERVERIF	446323	0.41	07-MAY-26	34063	0	1128	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANPRODUCTIONCOST	2891816	0.4	07-MAY-26	261081	0	373	0	43	0	BOTH AGREE ? ACTIVE
MKTUNITHOURLY_11082016	6723300	0.38	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTCSMANALOGLIMIT	2000800	0.38	20-JUL-22	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTEHVLOSSAGGRHOURLY	3308789	0.38	07-MAY-26	33759	0	3286	0	14	0	BOTH AGREE ? ACTIVE
MKTINTERFACEDATAFROMPI	2853575	0.38	07-MAY-26	28203	0	14089	1	975	112	BOTH AGREE ? ACTIVE
OPSLOADDATA	14446378	0.37	07-MAY-26	1165186	0	0	0	16	0	BOTH AGREE ? ACTIVE
MKTUNITCALLON	3459970	0.37	07-MAY-26	48948	0	23979	0	31	0	BOTH AGREE ? ACTIVE
MKTCOPCONSTRAINT	6094033	0.37	26-MAY-20	223695	0	135339	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTDMTLOG	4038908	0.37	07-MAY-26	75279	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
OPSINTERFACEDATA_TEMP	9384672	0.35	19-APR-22	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTSAVECASEENODE	5789053	0.35	09-MAR-26	264514	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANSUMMARY_OLD	2379489	0.34	17-MAR-21	30595	20478	7	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITDAILY	5664085	0.33	07-MAY-26	502942	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTRTUNITDAILY	2498343	0.29	07-MAY-26	158555	0	5440	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANVIOLATION	2460314	0.29	07-MAY-26	203847	0	285	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLAN_12042017	1162794	0.27	04-DEC-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
OPSLOADDATA_TEMP	10931680	0.25	19-APR-22	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTCASECONTROL	3257584	0.25	07-MAY-26	156613	0	62911	0	89	0	BOTH AGREE ? ACTIVE
MKTPLANEMERGENCYPROCEDURE	2794061	0.24	23-APR-26	0	0	0	0	0	0	BOTH AGREE ? DORMANT
GENBYFUELMIX	3331550	0.23	07-MAY-26	286120	0	0	0	13	0	BOTH AGREE ? ACTIVE
MKTGPM	1697881	0.23	29-DEC-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTREGMILEAGEINTERVAL	2725772	0.2	07-MAY-26	55044	0	29	0	48	0	BOTH AGREE ? ACTIVE
MKTCASESFTSCENARIO	3536806	0.2	07-MAY-26	26870	0	54	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTFILELOADCONTROL	1772149	0.2	07-MAY-26	1674	0	307	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTCSMANALOGLIMITSET	835140	0.2	29-DEC-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTDAUNITPRODUCTCLEARED	1244367	0.18	07-MAY-26	62215	0	23614	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLOCALE_20130723	855400	0.18	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
